Prod001 27APR2015:10_UV1_280nm	0	Prod001 27APR2015:10_Cond	0	Prod001 27APR2015:10_Conc	0	Prod001 27APR2015:10_Flow	0	Prod001 27APR2015:10_pH	0	Prod001 27APR2015:10_Temp	0	Prod001 27APR2015:10_Fractions	0	Prod001 27APR2015:10_Logbook	0
min	 mAU	min	 mS/cm	min	 %B	min	 ml/min	min	 	min	 C	min	(Fractions)	min	(Set Marks)
44.28	4.477	47.2	3.044	47.2	0	47.2	32.6	47.2	4.52	47.2	23.7			199.49	" ""InletA InletA2 """
44.653	4.493	47.6	3.045	47.6	0	47.6	32.6	47.6	4.52	47.6	23.7			199.49	" ""Gradient     0.00 %B,    0.000 CV"""
45.026	4.503	48	3.043	48	0	48	32.6	48	4.52	48	23.7			199.49	" ""Columns Col1BypassCol2Bypass """
45.4	4.584	48.4	3.044	48.4	0	48.4	32.6	48.4	4.52	48.4	23.7			199.49	" ""Flow    100.0 ml/min"""
45.773	4.576	48.8	3.043	48.8	0	48.8	32.6	48.8	4.51	48.8	23.7			199.518	" ""Gradient 0%B set  1    """
46.146	4.603	49.2	3.044	49.2	0	49.2	32.6	49.2	4.51	49.2	23.7			201.657	" ""Flow     67.0 ml/min"""
46.52	4.61	49.6	3.044	49.6	0	49.6	32.6	49.6	4.5	49.6	23.7			201.657	" ""Columns Col1Bypass_Col2Down """
46.893	4.675	50	3.044	50	0	50	32.6	50	4.5	50	23.7			201.657	" ""Sanitization 2"""
47.266	4.731	50.4	3.045	50.4	0	50.4	32.6	50.4	4.5	50.4	23.7			217.135	" ""Gradient 0%B set  1    """
47.64	4.737	50.8	3.045	50.8	0	50.8	32.6	50.8	4.5	50.8	23.7			224.928	" ""End Block"""
48.013	4.757	51.2	3.044	51.2	0	51.2	32.6	51.2	4.5	51.2	23.7			224.928	" ""Block Storage_0_1N_NaOH"""
48.386	4.781	51.6	3.044	51.6	0	51.6	32.6	51.6	4.5	51.6	23.7			224.928	" ""Base SameAsMain"""
48.76	4.831	52	3.044	52	0	52	32.6	52	4.5	52	23.7			224.928	" ""InletA InletA1 """
49.133	4.849	52.4	3.044	52.4	0	52.4	32.6	52.4	4.5	52.4	23.7			224.928	" ""Columns Col1BypassCol2Bypass """
49.506	4.855	52.8	3.044	52.8	0	52.8	32.6	52.8	4.5	52.8	23.7			224.928	" ""Flow    100.0 ml/min"""
49.88	4.886	53.2	3.044	53.2	0	53.2	32.6	53.2	4.5	53.2	23.7			227.012	" ""Flow     67.0 ml/min"""
50.253	4.903	53.6	3.044	53.6	0	53.6	32.6	53.6	4.5	53.6	23.7			227.012	" ""Columns Col1Bypass_Col2Down """
50.626	4.968	54	3.045	54	0	54	32.6	54	4.5	54	23.7			250.21	" ""End Block"""
51	4.95	54.4	3.044	54.4	0	54.4	32.6	54.4	4.5	54.4	23.7				
51.373	4.994	54.8	3.044	54.8	0	54.8	32.6	54.8	4.5	54.8	23.7				
51.746	4.981	55.2	3.044	55.2	0	55.2	32.6	55.2	4.5	55.2	23.7				
52.12	5.037	55.6	3.044	55.6	0	55.6	32.6	55.6	4.5	55.6	23.7				
52.493	5.084	56	3.043	56	0	56	32.6	56	4.5	56	23.7				
52.866	5.087	56.4	3.044	56.4	0	56.4	32.6	56.4	4.5	56.4	23.7				
53.24	5.129	56.8	3.043	56.8	0	56.8	32.6	56.8	4.5	56.8	23.7				
53.613	5.086	57.2	3.045	57.2	0	57.2	32.6	57.2	4.5	57.2	23.7				
53.986	5.153	57.6	3.044	57.6	0	57.6	32.6	57.6	4.49	57.6	23.7				
54.36	5.126	58	3.045	58	0	58	32.6	58	4.49	58	23.7				
54.733	5.179	58.4	3.044	58.4	0	58.4	32.6	58.4	4.48	58.4	23.7				
55.106	5.198	58.8	3.044	58.8	0	58.8	32.6	58.8	4.48	58.8	23.7				
55.48	5.239	59.2	3.046	59.2	0	59.2	32.6	59.2	4.48	59.2	23.7				
55.853	5.201	59.6	3.045	59.6	0	59.6	32.6	59.6	4.48	59.6	23.7				
56.226	5.226	60	3.044	60	0	60	32.6	60	4.48	60	23.7				
56.6	5.262	60.4	3.043	60.4	0	60.4	32.6	60.4	4.48	60.4	23.7				
56.973	5.263	60.8	3.044	60.8	0	60.8	32.6	60.8	4.48	60.8	23.7				
57.346	5.323	61.2	3.045	61.2	0	61.2	32.6	61.2	4.48	61.2	23.7				
57.72	5.312	61.6	3.045	61.6	0	61.6	32.6	61.6	4.48	61.6	23.7				
58.093	5.339	62	3.044	62	0	62	32.6	62	4.48	62	23.7				
58.466	5.345	62.4	3.044	62.4	0	62.4	32.6	62.4	4.48	62.4	23.7				
58.84	5.392	62.8	3.045	62.8	0	62.8	32.6	62.8	4.48	62.8	23.7				
59.213	5.404	63.2	3.045	63.2	0	63.2	32.6	63.2	4.48	63.2	23.7				
59.586	5.379	63.6	3.045	63.6	0	63.6	32.6	63.6	4.48	63.6	23.7				
59.96	5.402	64	3.046	64	0	64	32.6	64	4.48	64	23.7				
60.333	5.454	64.4	3.046	64.4	0	64.4	32.6	64.4	4.48	64.4	23.7				
60.706	5.501	64.8	3.046	64.8	0	64.8	32.6	64.8	4.48	64.8	23.7				
61.08	5.527	65.2	3.047	65.2	0	65.2	32.6	65.2	4.48	65.2	23.7				
61.453	5.526	65.6	3.047	65.6	0	65.6	32.6	65.6	4.48	65.6	23.7				
61.826	5.522	66	3.047	66	0	66	32.6	66	4.48	66	23.7				
62.2	5.58	66.4	3.047	66.4	0	66.4	32.6	66.4	4.48	66.4	23.7				
62.573	5.605	66.8	3.546	66.8	0	66.8	32.6	66.8	4.34	66.8	23.7				
62.946	5.602	67.2	3.06	67.2	0	67.2	32.6	67.2	4.48	67.2	23.8				
63.32	5.61	67.6	3.044	67.6	0	67.6	32.6	67.6	4.48	67.6	23.8				
63.693	5.63	68	3.042	68	0	68	32.6	68	4.48	68	23.8				
64.066	5.678	68.4	3.042	68.4	0	68.4	32.6	68.4	4.48	68.4	23.8				
64.44	5.688	68.8	3.043	68.8	0	68.8	32.6	68.8	4.48	68.8	23.8				
64.813	5.691	69.2	3.042	69.2	0	69.2	32.6	69.2	4.48	69.2	23.8				
65.186	5.719	69.6	3.043	69.6	0	69.6	32.6	69.6	4.48	69.6	23.8				
65.56	5.752	70	3.043	70	0	70	32.6	70	4.48	70	23.8				
65.933	5.782	70.4	3.042	70.4	0	70.4	32.6	70.4	4.48	70.4	23.8				
66.306	5.76	70.8	3.042	70.8	0	70.8	32.6	70.8	4.48	70.8	23.8				
66.68	5.823	71.2	3.042	71.2	0	71.2	32.6	71.2	4.47	71.2	23.8				
67.053	5.85	71.6	3.042	71.6	0	71.6	32.6	71.6	4.47	71.6	23.8				
67.426	5.846	72	3.042	72	0	72	32.6	72	4.47	72	23.8				
67.8	5.866	72.4	3.043	72.4	0	72.4	32.6	72.4	4.47	72.4	23.8				
68.173	5.901	72.8	3.042	72.8	0	72.8	32.6	72.8	4.47	72.8	23.8				
68.546	5.924	73.2	3.041	73.2	0	73.2	32.6	73.2	4.47	73.2	23.8				
68.92	5.991	73.6	3.043	73.6	0	73.6	32.6	73.6	4.47	73.6	23.8				
69.293	6.011	74	3.043	74	0	74	32.6	74	4.47	74	23.8				
69.666	6.079	74.4	3.042	74.4	0	74.4	32.6	74.4	4.47	74.4	23.8				
70.04	6.106	74.8	3.043	74.8	0	74.8	32.6	74.8	4.47	74.8	23.8				
70.413	6.13	75.2	3.043	75.2	0	75.2	32.6	75.2	4.47	75.2	23.8				
70.786	6.174	75.6	3.042	75.6	0	75.6	32.6	75.6	4.47	75.6	23.8				
71.16	6.241	76	3.043	76	0	76	32.6	76	4.47	76	23.8				
71.533	6.306	76.4	3.044	76.4	0	76.4	32.6	76.4	4.47	76.4	23.8				
71.906	6.517	76.8	3.049	76.8	0	76.8	32.6	76.8	4.47	76.8	23.8				
72.28	6.47	77.2	3.046	77.2	0	77.2	32.6	77.2	4.47	77.2	23.8				
72.653	6.493	77.6	3.05	77.6	0	77.6	32.6	77.6	4.47	77.6	23.8				
73.026	6.559	78	3.055	78	0	78	32.6	78	4.47	78	23.8				
73.4	6.615	78.4	3.06	78.4	0	78.4	32.6	78.4	4.47	78.4	23.8				
73.773	6.662	78.8	3.062	78.8	0	78.8	32.6	78.8	4.47	78.8	23.8				
74.146	6.72	79.2	3.068	79.2	0	79.2	32.6	79.2	4.47	79.2	23.8				
74.52	6.811	79.6	3.07	79.6	0	79.6	32.6	79.6	4.47	79.6	23.8				
74.893	6.863	80	3.074	80	0	80	32.6	80	4.47	80	23.8				
75.266	6.969	80.4	3.077	80.4	0	80.4	32.6	80.4	4.47	80.4	23.8				
75.64	7.058	80.8	3.08	80.8	0	80.8	32.6	80.8	4.47	80.8	23.8				
76.013	7.108	81.2	3.079	81.2	0	81.2	32.6	81.2	4.47	81.2	23.8				
76.386	7.214	81.6	3.075	81.6	0	81.6	32.6	81.6	4.47	81.6	23.8				
76.76	7.331	82	3.056	82	0	82	32.6	82	4.47	82	23.8				
77.133	7.535	82.4	3.006	82.4	0	82.4	32.6	82.4	4.48	82.4	23.8				
77.506	7.794	82.8	2.908	82.8	0	82.8	32.6	82.8	4.5	82.8	23.8				
77.88	8.073	83.2	2.747	83.2	0	83.2	32.6	83.2	4.52	83.2	23.8				
