10		10		10		10		10		10		10	
SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_UV1_280nm		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Cond		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Conc		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_pH		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Flow		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Fractions		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Logbook	
min	 mAU	min	 mS/cm	min	 %B	min	 	min	 ml/min	min	(Fractions)	min	(Set Marks)
  16.000	   -8.472000	  15.067	  106.533000	  15.067	    0.000000	  15.067	    5.410000	  15.067	    6.430000	 368.305	 "D10"	  35.525	 "Block Load"
  16.320	   -8.522000	  15.367	  106.521000	  15.367	    0.000000	  15.367	    5.410000	  15.367	    6.430000	 373.067	 "D11"	  35.525	 "Base Volume {ml}"
  16.640	   -8.511000	  15.667	  106.530000	  15.667	    0.000000	  15.667	    5.410000	  15.667	    6.430000	 377.830	 "D12"	  35.525	 "Message "Place Inlet A2 into Load hit continue ", Screen, "No sound""
  16.960	   -8.536000	  15.967	  106.589000	  15.967	    0.000000	  15.967	    5.410000	  15.967	    6.430000	 382.592	 "E1"	  35.525	 "Pause 10/26/2016, 9:37:43 AM"
  17.280	   -8.499000	  16.267	  106.555000	  16.267	    0.000000	  16.267	    5.410000	  16.267	    6.430000	 387.353	 "E2"	  35.525	 "Continue 10/26/2016, 9:43:27 AM (Manual)"
  17.600	   -8.399000	  16.567	  106.573000	  16.567	    0.000000	  16.567	    5.410000	  16.567	    6.430000	 392.115	 "E3"	  35.525	 "Load"
  17.920	   -8.357000	  16.867	  106.577000	  16.867	    0.000000	  16.867	    5.410000	  16.867	    6.430000	 396.878	 "E4"	  35.525	 "PumpAInlet A2 "
  18.240	   -8.466000	  17.167	  106.602000	  17.167	    0.000000	  17.167	    5.400000	  17.167	    6.430000	 401.640	 "E5"	  35.525	 "OutletValve F3 "
  18.560	   -8.454000	  17.467	  106.598000	  17.467	    0.000000	  17.467	    5.390000	  17.467	    6.430000	 406.402	 "E6"	  35.595	 "Flow     3.15 ml/min"
  18.880	   -9.566000	  17.767	  106.613000	  17.767	    0.000000	  17.767	    5.390000	  17.767	    6.430000	 411.165	 "E7"	  47.438	 "OutletValve F4 "
  19.200	   -9.915000	  18.067	  106.632000	  18.067	    0.000000	  18.067	    5.390000	  18.067	    6.430000	 415.927	 "E8"	 106.010	 "End Block"
  19.520	   -8.106000	  18.367	  106.652000	  18.367	    0.000000	  18.367	    5.390000	  18.367	    6.430000	 419.752	 "Waste"	 106.010	 "Block Wash_20Acetate"
  19.840	   -6.997000	  18.667	  106.635000	  18.667	    0.000000	  18.667	    5.390000	  18.667	    6.430000	 419.950	 "Waste"	 106.010	 "Base SameAsMain"
